w_stab,mag_stab
4.913407286296357,0.32648762318986585
5.09817606442042,0.314655015126284
5.289893076098146,0.303251246025167
5.488819609789666,0.29226077384753746
5.6952267797128195,0.2816686198310712
5.909395895340965,0.2714603480757499
6.131618844795769,0.2616220458693723
6.362198492657482,0.2521403047261117
6.601449092734883,0.2430022021122765
6.84969671635744,0.2341952838343676
7.1072796967734115,0.2257075470654309
7.3745490902595465,0.21752742398657052
7.651869154570818,0.20964376602132864
7.939617845382275,0.20204582864144505
8.238187331399601,0.19472325672328836
8.547984528840406,0.18766607043500141
8.869431656014704,0.1808646516351269
9.20296680876041,0.17430973076417505
9.549044557518078,0.1679923742112698
9.908136566858666,0.1619039721386542
10.280732238308648,0.15603622674746154
10.66733937734857,0.15038114096876057
11.06848488549412,0.1449310075644606
11.48471547840289,0.13967839862322368
11.916598430985587,0.13461615543706712
12.36472235053715,0.12973737874485936
12.829697978941475,0.1250354193294127
13.312159025043076,0.12050386895535714
13.812763028320095,0.11613655163544526
14.33219225503571,0.11192751521338484
14.871154628089506,0.10787102325172666
15.430384691835615,0.1039615472137547
16.010644613183146,0.10019375892871903
16.612725220342895,0.09656252333014606
17.237447080636162,0.09306289145732731
17.885661618834582,0.08969009371044963
18.55825227755515,0.08643953335017372
19.256135721291948,0.08330678023280146
19.980263085725465,0.08028756477249459
20.73162127401227,0.07737777212231536
21.511234301821627,0.07457343656615843
22.3201646929523,0.07187073611393155
23.1595149274315,0.06926598729261799
24.030428944069648,0.06675564012612228
24.934093699518755,0.06433627329705702
25.871740785959187,0.062004589483876583
26.844648109619598,0.05975741086700349
27.854141632417633,0.057591674797821846
28.901597179095056,0.05550442962463623
29.988442312310248,0.053492830669906316
31.116158278243567,0.05155413635327533
32.28628202536727,0.04968570445510806
33.500408299131294,0.04788498851544636
34.76019181541974,0.046149534363474166
36.06734951574024,0.044476976772761974
37.42366290721977,0.042865036237732634
38.83098049059601,0.04131151586695471
40.29122027951344,0.039814298389029536
41.806372414557536,0.03837134326699137
43.37850187558985,0.03698068391728784
45.00975129608042,0.03564042502955046
46.70234388327331,0.034348739983502345
48.45858644816491,0.03310386835948277
50.28087254942475,0.031904113539195506
52.171685755543436,0.030747840393411423
54.133603029653756,0.029633473053473313
56.16929824163804,0.028559492763566424
58.2815458123084,0.027524435810827176
60.47322449462643,0.02652689153046916
62.74732129711575,0.025565500383207658
65.10693555481454,0.02463895210236232
67.5552831533164,0.02374598390811295
70.09570091165618,0.022885378786474335
72.73165113001454,0.02205596383064464
75.46672630843887,0.021256608642467166
78.30465404301182,0.020486223791826175
81.24930210614048,0.019743759331877754
84.30468371788967,0.019028203368091835
87.47496301554415,0.01833858067915511
90.76446072885356,0.017673951387855363
94.17766006869519,0.017033409680135954
97.71921283717977,0.016416082570574288
101.39394576752896,0.015821128712602026
105.20686710236207,0.015247737251845715
109.16317341936126,0.014695126721024314
113.26825671361514,0.014162543974898493
117.52771174629427,0.013649263163819295
121.94734366967359,0.013154584744477688
126.53317593889403,0.012677834526506759
131.29145852124626,0.01221836275363695
136.2286764141644,0.011775543218152206
141.3515584835393,0.01134877240744024
146.66708663439655,0.010937468681473458
152.1825053264384,0.010541071480099867
157.90533144741727,0.010159040559063423
163.84336455779814,0.0097908552537126
170.00469752067147,0.009436013769393698
176.39772753140417,0.009094032497561945
183.03116756206092,0.008764445356678049
189.91405823619317,0.008446803156992146
197.05578015017963,0.008140672988349307
204.46606665791137,0.007845637630182275
212.1550171362448,0.007561294982887346
220.1331107493028,0.007287257519808375
228.4112207303821,0.007023151759082073
237.00062920093256,0.0067686177546247405
245.91304254680415,0.006523308605566738
255.16060737271812,0.006286889983466095
264.7559270567064,0.00605903967665691
274.7120789270809,0.0058394471511115245
285.04263208534314,0.005627813127218006
295.76166589932507,0.0054238491718961055
306.8837891917639,0.005227277305495806
318.42416015046496,0.005037829622942712
330.3985069871855,0.004855247928613928
342.8231493733967,0.0046792833844468236
355.71502068213823,0.004509696170801083
369.09169106627746,0.004346255159611837
382.9713914046277,0.004188737599388429
397.37303814856045,0.004036928811629487
412.3162591029748,0.0038906218982405704
427.8214201767613,0.003749617459555624
443.90965313921663,0.0036137233225779306
460.60288442023983,0.0034827542790701995
477.9238649935595,0.0033565318331368207
495.8962013837212,0.003234883957954284
514.5443878390925,0.0031176448613182022
533.893839714735,0.0030046547596874118
553.97092811064,0.0028957596604171974
574.8030158125351,0.00279081115188485
596.418494584246,0.00268966620122152
618.8468238624383,0.0025921869593747036
642.1185709064745,0.0024982405732356804
666.2654524581136,0.0024076990045758325
691.3203779678114,0.002320438855545147
717.3174944465597,0.0022363412004949746
744.2922330043742,0.0021552914238959133
772.2813571388626,0.0020771790641298934
801.323012839687,0.0020018976629435662
831.4567805772047,0.0019293446203578254
862.7237292461433,0.0018594210548357165
895.1664721378284,0.0017920316685181592
928.829225017248,0.0017270846173438159
963.7578663841069,0.001664491385876091
1000.0,0.0016041666666666667
