w_Gen1,mag_Gen1,w_k2a_Gen1,mag_k2a_Gen1,w_Gen2,mag_Gen2,w_k2a_Gen2,mag_k2a_Gen2,w_Gen3,mag_Gen3,w_k2a_Gen3,mag_k2a_Gen3,w_Gen4,mag_Gen4,w_k2a_Gen4,mag_k2a_Gen4
2.2527106426459828e-05,0.7882789932648165,2.2527106426459828e-05,0.9025006244126621,2.2527106426459828e-05,0.7882789932648165,2.2527106426459828e-05,0.9025006244126621,2.2527106426459828e-05,0.7882789933364985,2.2527106426459828e-05,0.90250062442704,2.2527106426459828e-05,0.7882789932648165,2.2527106426459828e-05,0.9025006244126621
2.3374238708918172e-05,0.7882790347183619,2.3374238708918172e-05,0.902500672257769,2.3374238708918172e-05,0.7882790347183619,2.3374238708918172e-05,0.902500672257769,2.3374238708918172e-05,0.7882790347955368,2.3374238708918172e-05,0.9025006722732488,2.3374238708918172e-05,0.7882790347183619,2.3374238708918172e-05,0.902500672257769
2.4253227417603554e-05,0.7882790793482519,2.4253227417603554e-05,0.9025007237689675,2.4253227417603554e-05,0.7882790793482519,2.4253227417603554e-05,0.9025007237689675,2.4253227417603554e-05,0.7882790794313401,2.4253227417603554e-05,0.9025007237856335,2.4253227417603554e-05,0.7882790793482519,2.4253227417603554e-05,0.9025007237689675
2.516527051405389e-05,0.7882791273978694,2.516527051405389e-05,0.9025007792271708,2.516527051405389e-05,0.7882791273978694,2.516527051405389e-05,0.9025007792271708,2.516527051405389e-05,0.7882791274873246,2.516527051405389e-05,0.9025007792451135,2.516527051405389e-05,0.7882791273978694,2.516527051405389e-05,0.9025007792271708
2.6111611009174623e-05,0.7882791791292503,2.6111611009174623e-05,0.9025008389348119,2.6111611009174623e-05,0.7882791791292503,2.6111611009174623e-05,0.9025008389348119,2.6111611009174623e-05,0.7882791792255595,2.6111611009174623e-05,0.9025008389541302,2.6111611009174623e-05,0.7882791791292503,2.6111611009174623e-05,0.9025008389348119
2.709353865732049e-05,0.7882792348245052,2.709353865732049e-05,0.902500903217503,2.709353865732049e-05,0.7882792348245052,2.709353865732049e-05,0.902500903217503,2.709353865732049e-05,0.7882792349281945,2.709353865732049e-05,0.9025009032383012,2.709353865732049e-05,0.7882792348245052,2.709353865732049e-05,0.902500903217503
2.811239171408461e-05,0.7882792947873632,2.811239171408461e-05,0.9025009724258022,2.811239171408461e-05,0.7882792947873632,2.811239171408461e-05,0.9025009724258022,2.811239171408461e-05,0.788279294898998,2.811239171408461e-05,0.9025009724481945,2.811239171408461e-05,0.7882792947873632,2.811239171408461e-05,0.9025009724258022
2.916955876018793e-05,0.7882793593448264,2.916955876018793e-05,0.9025010469371315,2.916955876018793e-05,0.7882793593448264,2.916955876018793e-05,0.9025010469371315,2.916955876018793e-05,0.7882793594650149,2.916955876018793e-05,0.9025010469612386,2.916955876018793e-05,0.7882793593448264,2.916955876018793e-05,0.9025010469371315
3.026648059395689e-05,0.7882794288489523,3.026648059395689e-05,0.9025011271578295,3.026648059395689e-05,0.7882794288489523,3.026648059395689e-05,0.9025011271578295,3.026648059395689e-05,0.7882794289783501,3.026648059395689e-05,0.9025011271837843,3.026648059395689e-05,0.7882794288489523,3.026648059395689e-05,0.9025011271578295
3.140465219496749e-05,0.7882795036787745,3.140465219496749e-05,0.9025012135253725,3.140465219496749e-05,0.7882795036787745,3.140465219496749e-05,0.9025012135253725,3.140465219496749e-05,0.7882795038180871,3.140465219496749e-05,0.9025012135533166,3.140465219496749e-05,0.7882795036787745,3.140465219496749e-05,0.9025012135253725
3.258562476153223e-05,0.7882795842423712,3.258562476153223e-05,0.9025013065107587,3.258562476153223e-05,0.7882795842423712,3.258562476153223e-05,0.9025013065107587,3.258562476153223e-05,0.7882795843923585,3.258562476153223e-05,0.9025013065408433,3.258562476153223e-05,0.7882795842423712,3.258562476153223e-05,0.9025013065107587
3.381100782480682e-05,0.7882796709790859,3.381100782480682e-05,0.9025014066210735,3.381100782480682e-05,0.7882796709790859,3.381100782480682e-05,0.9025014066210735,3.381100782480682e-05,0.7882796711405666,3.381100782480682e-05,0.9025014066534633,3.381100782480682e-05,0.7882796709790859,3.381100782480682e-05,0.9025014066210735
3.5082471442397884e-05,0.7882797643619311,3.5082471442397884e-05,0.902501514402259,3.5082471442397884e-05,0.7882797643619311,3.5082471442397884e-05,0.902501514402259,3.5082471442397884e-05,0.7882797645357854,3.5082471442397884e-05,0.9025015144371316,3.5082471442397884e-05,0.7882797643619311,3.5082471442397884e-05,0.902501514402259
3.640174847446138e-05,0.788279864900161,3.640174847446138e-05,0.9025016304420908,3.640174847446138e-05,0.788279864900161,3.640174847446138e-05,0.9025016304420908,3.640174847446138e-05,0.788279865087336,3.640174847446138e-05,0.9025016304796343,3.640174847446138e-05,0.788279864900161,3.640174847446138e-05,0.9025016304420908
3.7770636945393644e-05,0.7882799731420496,3.7770636945393644e-05,0.9025017553733793,3.7770636945393644e-05,0.7882799731420496,3.7770636945393644e-05,0.9025017553733793,3.7770636945393644e-05,0.788279973343567,3.7770636945393644e-05,0.9025017554137998,3.7770636945393644e-05,0.7882799731420496,3.7770636945393644e-05,0.9025017553733793
3.919100249433402e-05,0.7882800896778841,3.919100249433402e-05,0.9025018898774256,3.919100249433402e-05,0.7882800896778841,3.919100249433402e-05,0.9025018898774256,3.919100249433402e-05,0.7882800898948434,3.919100249433402e-05,0.9025018899209433,3.919100249433402e-05,0.7882800896778841,3.919100249433402e-05,0.9025018898774256
4.066478091781854e-05,0.7882802151431819,4.066478091781854e-05,0.902502034687735,4.066478091781854e-05,0.7882802151431819,4.066478091781854e-05,0.902502034687735,4.066478091781854e-05,0.7882802153767648,4.066478091781854e-05,0.9025020347345869,4.066478091781854e-05,0.7882802151431819,4.066478091781854e-05,0.902502034687735
4.219398080805024e-05,0.7882803502221551,4.219398080805024e-05,0.9025021905940164,4.219398080805024e-05,0.7882803502221551,4.219398080805024e-05,0.9025021905940164,4.219398080805024e-05,0.7882803504736369,4.219398080805024e-05,0.9025021906444582,4.219398080805024e-05,0.7882803502221551,4.219398080805024e-05,0.9025021905940164
4.3780686290381665e-05,0.7882804956514449,4.3780686290381665e-05,0.902502358446489,4.3780686290381665e-05,0.7882804956514449,4.3780686290381665e-05,0.902502358446489,4.3780686290381665e-05,0.7882804959221953,4.3780686290381665e-05,0.9025023585007962,4.3780686290381665e-05,0.7882804956514449,4.3780686290381665e-05,0.902502358446489
4.542705986374043e-05,0.7882806522241343,4.542705986374043e-05,0.9025025391605205,4.542705986374043e-05,0.7882806522241343,4.542705986374043e-05,0.9025025391605205,4.542705986374043e-05,0.7882806525156311,4.542705986374043e-05,0.9025025392189897,4.542705986374043e-05,0.7882806522241343,4.542705986374043e-05,0.9025025391605205
4.713534534786907e-05,0.788280820794078,4.713534534786907e-05,0.9025027337216183,4.713534534786907e-05,0.788280820794078,4.713534534786907e-05,0.9025027337216183,4.713534534786907e-05,0.7882808211079109,4.713534534786907e-05,0.9025027337845669,4.713534534786907e-05,0.788280820794078,4.713534534786907e-05,0.9025027337216183
4.89078709413959e-05,0.7882810022805564,4.89078709413959e-05,0.9025029431908019,4.89078709413959e-05,0.7882810022805564,4.89078709413959e-05,0.9025029431908019,4.89078709413959e-05,0.7882810026184361,4.89078709413959e-05,0.9025029432585736,4.89078709413959e-05,0.7882810022805564,4.89078709413959e-05,0.9025029431908019
5.074705239490466e-05,0.7882811976732875,5.074705239490466e-05,0.9025031687103909,5.074705239490466e-05,0.7882811976732875,5.074705239490466e-05,0.9025031687103909,5.074705239490466e-05,0.7882811980370573,5.074705239490466e-05,0.9025031687833562,5.074705239490466e-05,0.7882811976732875,5.074705239490466e-05,0.9025031687103909
5.265539630332755e-05,0.7882814080378275,5.265539630332755e-05,0.9025034115102359,5.265539630332755e-05,0.7882814080378275,5.265539630332755e-05,0.9025034115102359,5.265539630332755e-05,0.7882814084294711,5.265539630332755e-05,0.902503411588792,5.265539630332755e-05,0.7882814080378275,5.265539630332755e-05,0.9025034115102359
5.463550352214876e-05,0.7882816345213787,5.463550352214876e-05,0.9025036729144222,5.463550352214876e-05,0.7882816345213787,5.463550352214876e-05,0.9025036729144222,5.463550352214876e-05,0.7882816349430319,5.463550352214876e-05,0.9025036729989971,5.463550352214876e-05,0.7882816345213787,5.463550352214876e-05,0.9025036729144222
5.669007271207434e-05,0.788281878359048,5.669007271207434e-05,0.902503954348493,5.669007271207434e-05,0.788281878359048,5.669007271207434e-05,0.902503954348493,5.669007271207434e-05,0.7882818788130095,5.669007271207434e-05,0.902503954439549,5.669007271207434e-05,0.788281878359048,5.669007271207434e-05,0.902503954348493
5.8821904016999556e-05,0.7882821408805799,5.8821904016999556e-05,0.9025042573472216,5.8821904016999556e-05,0.7882821408805799,5.8821904016999556e-05,0.9025042573472216,5.8821904016999556e-05,0.7882821413693263,5.8821904016999556e-05,0.9025042574452552,5.8821904016999556e-05,0.7882821408805799,5.8821904016999556e-05,0.9025042573472216
6.103390288028621e-05,0.7882824235176099,6.103390288028621e-05,0.9025045835629837,6.103390288028621e-05,0.7882824235176099,6.103390288028621e-05,0.9025045835629837,6.103390288028621e-05,0.7882824240438064,6.103390288028621e-05,0.9025045836685279,6.103390288028621e-05,0.7882824235176099,6.103390288028621e-05,0.9025045835629837
6.332908400455115e-05,0.7882827278114733,6.332908400455115e-05,0.9025049347747646,6.332908400455115e-05,0.7882827278114733,6.332908400455115e-05,0.9025049347747646,6.332908400455115e-05,0.7882827283779897,6.332908400455115e-05,0.9025049348883967,6.332908400455115e-05,0.7882827278114733,6.332908400455115e-05,0.9025049347747646
6.57105754603627e-05,0.7882830554216065,6.57105754603627e-05,0.9025053128978663,6.57105754603627e-05,0.7882830554216065,6.57105754603627e-05,0.9025053128978663,6.57105754603627e-05,0.7882830560315318,6.57105754603627e-05,0.9025053130202052,6.57105754603627e-05,0.7882830554216065,6.57105754603627e-05,0.9025053128978663
